Month,Year,Median Home Values (in thousands of dollars),30-year Fixed Mortgage Rate (%),Private Housing Permits (in thousands),Total Vehicle Sales (in thousands),Discount Rate (%),Personal Savings Rate (%),Real Disposable Personal Income: Per Capita (in thousands of dollars),Industrial Production Index (%),Commercial and Industrial Loans (in thousands of dollars),CPI for All Urban Consumers (%),Seasonally Adjusted Unemployment Rate (%),Federal Funds Effective Rate (%),S&P500 price close at end of the month (^GSPC) (dollars)
October,2013,193.13,4.19,92.50,15727.00,0.75,6.00,39.00,99.90,1549373800.00,233.55,7.20,0.09,1805.81
November,2013,192.58,4.26,73.50,16079.00,0.75,5.80,39.07,100.15,1558600100.00,233.07,6.90,0.08,1848.36
December,2013,192.27,4.46,77.80,15835.00,0.75,6.00,39.13,100.36,1574321200.00,233.05,6.70,0.09,1782.59
January,2014,191.95,4.43,68.60,15614.00,0.75,6.70,39.29,99.98,1586714300.00,233.92,6.60,0.07,1859.45
February,2014,192.92,4.30,72.30,15993.00,0.75,6.60,39.48,100.75,1619892100.00,234.78,6.70,0.07,1872.34
March,2014,195.22,4.34,86.30,16985.00,0.75,6.70,39.67,101.74,1634240100.00,236.29,6.70,0.08,1883.95
April,2014,197.39,4.34,99.10,16695.00,0.75,6.90,39.81,101.80,1650929400.00,237.07,6.20,0.09,1923.57
May,2014,199.68,4.19,93.80,17137.00,0.75,7.10,39.93,102.21,1663526100.00,237.90,6.30,0.09,1960.23
June,2014,201.92,4.16,95.70,17516.00,0.75,7.10,40.06,102.56,1676756500.00,238.34,6.10,0.10,1930.67
July,2014,202.63,4.13,97.10,17277.00,0.75,7.20,40.15,102.84,1694750000.00,238.25,6.20,0.09,2003.37
August,2014,202.23,4.12,90.30,17239.00,0.75,7.00,40.31,102.65,1711899500.00,237.85,6.10,0.09,1972.29
September,2014,201.39,4.16,92.70,16959.00,0.75,7.20,40.41,102.96,1725645000.00,238.03,5.90,0.09,2018.05
October,2014,201.39,4.04,98.40,16756.00,0.75,7.10,40.56,102.97,1730513800.00,237.43,5.70,0.09,2067.56
November,2014,201.62,4.00,72.80,16949.00,0.75,7.30,40.74,103.60,1751428500.00,236.15,5.80,0.09,2058.90
December,2014,201.62,3.86,85.00,17178.00,0.75,7.70,40.99,103.59,1773282900.00,234.81,5.60,0.12,1994.99
January,2015,200.73,3.67,71.00,16912.00,0.75,8.00,41.20,102.80,1791464400.00,233.71,5.70,0.11,2104.50
February,2015,202.58,3.71,78.60,16895.00,0.75,8.10,41.32,102.16,1807989100.00,234.72,5.50,0.11,2067.89
